Date_start,Power_kW,HR,solarRad_W/m2,Weekday,Hour_sin,Hour_cos,Power_kW_lag_1h,Power_kW_lag_2h,Power_kW_lag_24h,HDH,CDH_squared,CDH_Humidity,log_temp,holiday
2017-03-22 19:00:00,181.5553645,61.87583333333333,0.8031666666666667,2,-0.9659258262890684,0.2588190451025203,217.003275,263.500075,178.001025,5.885833333333332,0.0,0.0,2.3139370813302698,False
2017-03-22 20:00:00,136.75915,63.37916666666666,0.9578333333333332,2,-0.8660254037844386,0.5000000000000001,181.5553645,217.003275,141.848452,6.039999999999999,0.0,0.0,2.298577071596507,False
2017-03-22 21:00:00,107.3872875,63.965833333333336,1.5094166666666666,2,-0.7071067811865477,0.7071067811865474,136.75915,181.5553645,117.0248855,6.012499999999999,0.0,0.0,2.301334311092393,False
2017-03-22 22:00:00,113.8531395,66.99916666666667,1.6274166666666667,2,-0.5000000000000004,0.8660254037844384,107.3872875,136.75915,108.5252355,6.029999999999999,0.0,0.0,2.299580583973747,False
2017-03-22 23:00:00,108.9041145,69.61666666666666,1.775,2,-0.25881904510252157,0.9659258262890681,113.8531395,107.3872875,113.727939,5.869999999999999,0.0,0.0,2.315501318260592,False
2017-03-23 00:00:00,106.3607745,71.33333333333333,1.426583333333333,3,0.0,1.0,108.9041145,113.8531395,111.3884595,5.6758333333333315,0.0,0.0,2.3344874253396473,False
2017-03-23 01:00:00,106.7444605,73.60000000000001,1.7885833333333334,3,0.25881904510252074,0.9659258262890683,106.3607745,108.9041145,109.3555355,5.514166666666666,0.0,0.0,2.3500251398158762,False
2017-03-23 02:00:00,102.4378255,79.425,2.257,3,0.49999999999999994,0.8660254037844387,106.7444605,106.3607745,104.088156,5.504166666666666,0.0,0.0,2.350978353010619,False
2017-03-23 03:00:00,101.6503515,84.06666666666666,1.4863333333333333,3,0.7071067811865476,0.7071067811865476,102.4378255,106.7444605,110.3899145,5.444166666666666,0.0,0.0,2.356678629707541,False
2017-03-23 04:00:00,105.99435,87.14999999999999,1.8579166666666669,3,0.8660254037844386,0.5000000000000001,101.6503515,102.4378255,108.3067355,5.369166666666668,0.0,0.0,2.3637585837621984,False
2017-03-23 05:00:00,106.5124135,85.925,2.229416666666667,3,0.9659258262890683,0.25881904510252074,105.99435,101.6503515,110.021742,4.678333333333336,0.0,0.0,2.4267182939751555,False
2017-03-23 06:00:00,115.4044895,88.26666666666667,5.015416666666667,3,1.0,6.123233995736766e-17,106.5124135,105.99435,119.478422,4.521666666666668,0.0,0.0,2.4404612003285515,False
2017-03-23 07:00:00,149.1181655,90.6,37.63583333333333,3,0.9659258262890683,-0.25881904510252063,115.4044895,106.5124135,151.9302605,4.226666666666668,0.0,0.0,2.4658370870676496,False
2017-03-23 08:00:00,189.110002,91.275,93.08333333333331,3,0.8660254037844387,-0.4999999999999998,149.1181655,115.4044895,205.3119955,3.759166666666667,0.0,0.0,2.504777357555323,False
2017-03-23 09:00:00,224.77095,91.26666666666668,107.025,3,0.7071067811865476,-0.7071067811865475,189.110002,149.1181655,227.792805,3.303333333333333,0.0,0.0,2.541339491822403,False
2017-03-23 10:00:00,266.8175605,90.53333333333336,122.8025,3,0.49999999999999994,-0.8660254037844387,224.77095,189.110002,254.1664105,3.058333333333332,0.0,0.0,2.560452080366641,False
2017-03-23 11:00:00,267.1750265,87.69166666666666,178.82500000000002,3,0.258819045102521,-0.9659258262890682,266.8175605,224.77095,269.5890145,3.160000000000002,0.0,0.0,2.5525652982618148,False
2017-03-23 12:00:00,263.5584145,80.20833333333333,505.1,3,1.2246467991473532e-16,-1.0,267.1750265,266.8175605,274.4650605,2.3516666666666683,0.0,0.0,2.613617414054042,False
2017-03-23 13:00:00,244.6835105,77.76666666666667,445.225,3,-0.2588190451025208,-0.9659258262890683,263.5584145,267.1750265,262.551348,2.065833333333332,0.0,0.0,2.6343438576865776,False
2017-03-23 14:00:00,263.036855,84.05,238.48333333333332,3,-0.4999999999999997,-0.8660254037844388,244.6835105,263.5584145,265.3099105,2.770833333333334,0.0,0.0,2.5824239879848006,False
2017-03-23 15:00:00,257.1891395,79.875,193.26666666666665,3,-0.7071067811865471,-0.7071067811865479,263.036855,244.6835105,277.833675,2.7691666666666634,0.0,0.0,2.5825499643014203,False
2017-03-23 16:00:00,252.60785,79.49166666666666,212.49166666666667,3,-0.8660254037844385,-0.5000000000000004,257.1891395,263.036855,265.6691245,2.8308333333333326,0.0,0.0,2.577878238633012,False
2017-03-23 17:00:00,231.175622,79.34166666666667,31.284166666666664,3,-0.9659258262890683,-0.25881904510252063,252.60785,257.1891395,263.500075,2.740833333333333,0.0,0.0,2.584689137131765,False
2017-03-23 18:00:00,182.90635,80.125,9.777166666666668,3,-1.0,-1.8369701987210297e-16,231.175622,252.60785,217.003275,2.5733333333333324,0.0,0.0,2.597242779182252,False
2017-03-23 19:00:00,156.085475,80.14166666666667,1.24375,3,-0.9659258262890684,0.2588190451025203,182.90635,231.175622,181.5553645,2.6058333333333366,0.0,0.0,2.5948192887930492,False
2017-03-23 20:00:00,124.766559,86.05,1.5991666666666664,3,-0.8660254037844386,0.5000000000000001,156.085475,182.90635,136.75915,3.2325,0.0,0.0,2.5469028795396618,False
