Date,Power_kW,HR,solarRad_W/m2,Weekday,Hour_sin,Hour_cos,Power_kW_lag_1h,Power_kW_lag_2h,Power_kW_lag_24h,HDH,CDH_squared,CDH_Humidity,log_temp,holiday
2019-03-01 23:00:00,107.59,80.79166667,5.758583333,4,-0.25881904510252157,0.9659258262890681,100.985,112.34,118.885,3.8941666700000006,0.0,0.0,2.4936874298214424,False
2019-03-02 00:00:00,107.111,80.36666667,4.99475,5,0.0,1.0,107.59,100.985,106.003,3.5616666699999993,0.0,0.0,2.520783101647252,False
2019-03-02 01:00:00,103.117,80.49166667,4.20275,5,0.25881904510252074,0.9659258262890683,107.111,107.59,97.861,3.4566666700000006,0.0,0.0,2.529189315671491,False
2019-03-02 02:00:00,102.316,79.86666667,5.538166667,5,0.49999999999999994,0.8660254037844387,103.117,107.111,97.075,3.38833333,0.0,0.0,2.5346223117426807,False
2019-03-02 03:00:00,104.021,80.48333333,6.1985,5,0.7071067811865476,0.7071067811865476,102.316,103.117,98.325,3.51,0.0,0.0,2.5249283241374862,False
2019-03-02 04:00:00,101.353,81.575,4.61275,5,0.8660254037844386,0.5000000000000001,104.021,102.316,96.454,3.465,0.0,0.0,2.528524731610257,False
2019-03-02 05:00:00,100.165,80.325,4.348083333,5,0.9659258262890683,0.25881904510252074,101.353,104.021,96.792,3.3233333300000005,0.0,0.0,2.5397630335350088,False
2019-03-02 06:00:00,104.282,77.65,4.831833333,5,1.0,6.123233995736766e-17,100.165,101.353,108.342,3.1616666700000007,0.0,0.0,2.5524354868771804,False
2019-03-02 07:00:00,99.245,76.04166667,14.42591667,5,0.9659258262890683,-0.25881904510252063,104.282,100.165,145.805,3.0199999999999996,0.0,0.0,2.563409711275944,False
2019-03-02 08:00:00,99.042,74.59166667,72.82,5,0.8660254037844387,-0.4999999999999998,99.245,104.282,188.776,2.6808333300000005,0.0,0.0,2.5892041008428275,False
2019-03-02 09:00:00,104.052,70.4225,272.1833333,5,0.7071067811865476,-0.7071067811865475,99.042,99.245,240.561,2.2033333299999995,0.0,0.0,2.6244270173341357,False
2019-03-02 10:00:00,99.97,64.86916667,576.0166667,5,0.49999999999999994,-0.8660254037844387,104.052,99.042,280.627,0.9574999999999996,0.0,0.0,2.7108795281123697,False
2019-03-02 11:00:00,101.802,54.765,681.475,5,0.258819045102521,-0.9659258262890682,99.97,104.052,281.742,0.0,0.0,0.0,2.837566600166334,False
2019-03-02 12:00:00,100.042,48.6775,725.8333333,5,1.2246467991473532e-16,-1.0,101.802,99.97,272.711,0.0,0.0,0.0,2.909811210864732,False
2019-03-02 13:00:00,100.575,49.24333333,693.4666667,5,-0.2588190451025208,-0.9659258262890683,100.042,101.802,246.169,0.0,0.0,0.0,2.9502553643134592,False
2019-03-02 14:00:00,107.675,49.05916667,603.025,5,-0.4999999999999997,-0.8660254037844388,100.575,100.042,252.594,0.0,0.0,0.0,2.937175824093967,False
2019-03-02 15:00:00,102.822,49.08666667,513.85,5,-0.7071067811865471,-0.7071067811865479,107.675,100.575,256.266,0.0,0.0,0.0,2.9241915162824217,False
2019-03-02 16:00:00,106.735,52.7525,342.5833333,5,-0.8660254037844385,-0.5000000000000004,102.822,107.675,261.936,0.0,0.0,0.0,2.8522948348100026,False
2019-03-02 17:00:00,108.135,59.75666667,148.8083333,5,-0.9659258262890683,-0.25881904510252063,106.735,102.822,239.005,0.4183333299999994,0.0,0.0,2.746095009689096,False
2019-03-02 18:00:00,109.242,64.96833333,13.74091667,5,-1.0,-1.8369701987210297e-16,108.135,106.735,203.358,2.3149999999999995,0.0,0.0,2.6163003424926425,False
2019-03-02 19:00:00,117.649,68.37083333,4.843416667,5,-0.9659258262890684,0.2588190451025203,109.242,108.135,170.189,3.26333333,0.0,0.0,2.5444849730524104,False
2019-03-02 20:00:00,108.077,68.8775,4.926916667,5,-0.8660254037844386,0.5000000000000001,117.649,109.242,138.111,3.5591666699999998,0.0,0.0,2.5209840730095636,False
2019-03-02 21:00:00,110.231,70.89083333,4.290666667,5,-0.7071067811865477,0.7071067811865474,108.077,117.649,112.34,4.07,0.0,0.0,2.4790562361098245,False
2019-03-02 22:00:00,107.253,74.25833333,3.074083333,5,-0.5000000000000004,0.8660254037844384,110.231,108.077,100.985,4.59583333,0.0,0.0,2.4339787859909787,False
2019-03-02 23:00:00,106.919,77.525,4.376,5,-0.25881904510252157,0.9659258262890681,107.253,110.231,107.59,4.9275,0.0,0.0,2.404464556815216,False
2019-03-03 00:00:00,103.601,78.49166667,4.341166667,6,0.0,1.0,106.919,107.253,107.111,5.043333329999999,0.0,0.0,2.3939480993122473,False
2019-03-03 01:00:00,101.676,77.69166667,5.489,6,0.25881904510252074,0.9659258262890683,103.601,106.919,103.117,5.0608333299999995,0.0,0.0,2.3923496213320314,False
2019-03-03 02:00:00,101.229,78.34166667,3.058083333,6,0.49999999999999994,0.8660254037844387,101.676,103.601,102.316,5.1274999999999995,0.0,0.0,2.3862366654896565,False
2019-03-03 03:00:00,102.534,78.96666667,5.385333333,6,0.7071067811865476,0.7071067811865476,101.229,101.676,104.021,5.2391666699999995,0.0,0.0,2.3759129987607945,False
2019-03-03 04:00:00,103.287,79.675,5.28975,6,0.8660254037844386,0.5000000000000001,102.534,101.229,101.353,5.43333333,0.0,0.0,2.3577043925305827,False
2019-03-03 05:00:00,103.251,80.35833333,4.878083333,6,0.9659258262890683,0.25881904510252074,103.287,102.534,100.165,5.54916667,0.0,0.0,2.346681719729004,False
