Date_start,Power_kW,Year,Month,Day,Hour,temp_C,HR,solarRad_W/m2,Weekday,Is_Weekend,Hour_sin,Hour_cos,Power_kW_lag_1h,Power_kW_lag_2h,Power_kW_lag_24h,HDH,CDH,HDH_squared,CDH_squared,CDH_Humidity,log_temp,temp_squared,holiday
2017-12-25 15:00:00,103.863975,2017,12,25,15,13.001666666666669,61.49333333333333,158.54999999999998,0,0,-0.7071067811865471,-0.7071067811865479,104.2609895,107.1049855,107.6586645,2.9983333333333313,0.0,8.990002777777766,0.0,0.0,2.565077554372167,13.001666666666669,True
2017-12-25 16:00:00,103.8458395,2017,12,25,16,12.740833333333336,63.81916666666666,116.00083333333332,0,0,-0.8660254037844385,-0.5000000000000004,103.863975,104.2609895,103.6854605,3.2591666666666637,0.0,10.622167361111092,0.0,0.0,2.5448120587845224,12.740833333333336,True
2017-12-25 17:00:00,108.736525,2017,12,25,17,12.2475,64.6675,7.526083333333333,0,0,-0.9659258262890683,-0.25881904510252063,103.8458395,103.863975,105.2149605,3.7524999999999995,0.0,14.081256249999996,0.0,0.0,2.505321834530593,12.2475,True
2017-12-25 18:00:00,101.62435,2017,12,25,18,12.339166666666666,63.946666666666665,2.7695000000000003,0,0,-1.0,-1.8369701987210297e-16,108.736525,103.8458395,102.378175,3.6608333333333345,0.0,13.401700694444452,0.0,0.0,2.512778485132627,12.339166666666666,True
2017-12-25 19:00:00,101.2893895,2017,12,25,19,12.395,65.875,3.0788333333333333,0,0,-0.9659258262890684,0.2588190451025203,101.62435,108.736525,102.3709645,3.6050000000000004,0.0,12.996025000000003,0.0,0.0,2.5172931654871538,12.395,True
2017-12-25 20:00:00,101.7189605,2017,12,25,20,12.204166666666666,69.11916666666666,4.036583333333334,0,0,-0.8660254037844386,0.5000000000000001,101.2893895,101.62435,98.6127645,3.7958333333333343,0.0,14.40835069444445,0.0,0.0,2.501777423485742,12.204166666666666,True
2017-12-25 21:00:00,91.2893,2017,12,25,21,11.758333333333333,70.77166666666666,2.5756666666666668,0,0,-0.7071067811865477,0.7071067811865474,101.7189605,101.2893895,89.3483645,4.241666666666667,0.0,17.991736111111116,0.0,0.0,2.464562209070768,11.758333333333333,True
2017-12-25 22:00:00,86.85375,2017,12,25,22,11.019166666666663,74.90833333333333,2.7765,0,0,-0.5000000000000004,0.8660254037844384,91.2893,101.7189605,89.9383145,4.9808333333333366,0.0,24.808700694444475,0.0,0.0,2.399636180780731,11.019166666666663,True
2017-12-25 23:00:00,89.5559395,2017,12,25,23,9.9825,82.43333333333332,3.2841666666666662,0,0,-0.25881904510252157,0.9659258262890681,86.85375,91.2893,88.3432645,6.0175,0.0,36.21030625,0.0,0.0,2.3008335599552394,9.9825,True
2017-12-26 00:00:00,90.7249145,2017,12,26,0,9.425833333333332,86.075,2.37025,1,0,0.0,1.0,89.5559395,86.85375,89.6979645,6.5741666666666685,0.0,43.219667361111135,0.0,0.0,2.243454146755289,9.425833333333332,True
