Date_start,Power_kW,temp_C,HR,solarRad_W/m2
2018-11-09 17:00:00,264.0338705,13.902500000000002,41.928333333333335,14.04025
2018-11-09 18:00:00,204.8256145,13.049166666666666,45.9825,2.9028333333333336
2018-11-09 19:00:00,165.6664815,12.51,50.70916666666667,2.9795
2018-11-09 20:00:00,132.9216345,12.425833333333332,51.25333333333333,3.032583333333333
2018-11-09 21:00:00,112.5163565,12.615833333333336,50.27166666666667,2.76275
2018-11-09 22:00:00,105.1349895,12.6925,51.08583333333333,2.813333333333333
2018-11-09 23:00:00,99.545541,12.514166666666666,50.465,2.744166666666666
2018-11-10 00:00:00,101.7272635,12.458333333333334,49.87083333333334,2.73725
2018-11-10 01:00:00,96.985595,12.380833333333332,48.625,2.8135
2018-11-10 02:00:00,96.8464105,11.929166666666667,51.39333333333334,2.8433333333333333
2018-11-10 03:00:00,98.038765,11.039166666666668,60.759166666666665,2.637916666666667
2018-11-10 04:00:00,94.565926,10.325,69.13250000000001,2.49025
2018-11-10 05:00:00,99.230901,10.930833333333334,52.90583333333333,2.6245833333333333
2018-11-10 06:00:00,95.5393435,10.858333333333334,49.3975,2.5481666666666665
2018-11-10 07:00:00,110.091225,10.135,62.95916666666667,36.458416666666665
2018-11-10 08:00:00,113.4528475,10.5725,63.9475,186.0
2018-11-10 09:00:00,122.824094,12.475,55.33833333333333,345.0916666666667
2018-11-10 10:00:00,131.8719605,14.0875,47.72083333333333,475.31666666666666
2018-11-10 11:00:00,124.3319625,15.995,37.64083333333333,555.8083333333333
2018-11-10 12:00:00,133.342684,16.799166666666668,35.53666666666667,575.1916666666667
2018-11-10 13:00:00,122.4183395,17.7025,34.016666666666666,534.625
2018-11-10 14:00:00,118.035885,18.5775,32.55166666666667,441.2166666666667
2018-11-10 15:00:00,121.1226345,19.15,30.934166666666663,298.5416666666667
2018-11-10 16:00:00,121.946598,18.42083333333333,35.44833333333333,132.125
2018-11-10 17:00:00,129.6214105,16.892500000000002,46.76666666666667,13.234166666666669
2018-11-10 18:00:00,122.8090175,15.553333333333336,52.045,3.1306666666666665
2018-11-10 19:00:00,119.9685175,15.277500000000002,51.805,3.458833333333333
2018-11-10 20:00:00,110.4736,15.070833333333333,53.25083333333333,3.2394166666666666
2018-11-10 21:00:00,106.681314,14.625833333333333,57.5625,2.99025
2018-11-10 22:00:00,99.60104,14.669166666666667,58.22583333333333,3.0226666666666664
2018-11-10 23:00:00,102.062661,14.341666666666669,60.770833333333336,2.9996666666666667
2018-11-11 00:00:00,108.3215935,14.166666666666666,62.19916666666666,2.9606666666666666
2018-11-11 01:00:00,97.643717,14.3175,61.369166666666665,3.046333333333333
2018-11-11 02:00:00,106.152981,13.675833333333337,63.86166666666667,3.138416666666666
2018-11-11 03:00:00,98.857266,13.234166666666669,66.6375,2.84525
2018-11-11 04:00:00,102.237898,13.206666666666663,66.8475,2.857333333333333
2018-11-11 05:00:00,103.1850955,12.52,69.95,2.7765
2018-11-11 06:00:00,98.3523125,11.777500000000002,74.49249999999999,2.64025
2018-11-11 07:00:00,103.4062175,12.419090909090908,69.41545454545454,34.68427272727273
2018-11-11 08:00:00,96.5077355,13.896666666666668,63.07083333333333,183.8166666666667
2018-11-11 09:00:00,98.422014,14.985833333333334,60.18833333333333,345.1
